Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
doncafe-elita-intense-250g-11716,Doncafe Elita Intense 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-11716,250.0201143,shopify,12,deny,manual,4.1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
doncafe-elita-instant-200g-17383,Doncafe Elita Instant 200g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-17383,199.9888759,shopify,6,deny,manual,6,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
amigo-cafea-instant-100g-12600,Amigo Cafea Instant 100g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-12600,100.0171176,shopify,12,deny,manual,3.6,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
viva-pernite-cacao-200g-11386,Viva Pernite Cacao 200g,,Basarabia,Uncategorized,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11386,199.9888759,shopify,14,deny,manual,1.2,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
viva-pernite-banane-200g-17826,Viva Pernite Banane 200g,,Basarabia,Uncategorized,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17826,199.9888759,shopify,14,deny,manual,1.2,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
viva-pernite-alune-200g-11387,Viva Pernite Alune 200g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11387,199.9888759,shopify,14,deny,manual,1.2,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
viva-mixies-pernite-asortate-240g-18539,Viva Mixies Pernite Asortate 240g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18539,239.995723,shopify,14,deny,manual,1.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
viva-me-gusta-crema-tartinabila-alune-si-cacao-18862,Viva Me Gusta Crema Tartinabila Alune Si Cacao,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18862,0,shopify,6,deny,manual,3.1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
vel-pitar-biscuiti-populari-500g-14261,Vel Pitar Biscuiti Populari 500g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14261,499.9948695,shopify,16,deny,manual,2.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
vel-pitar-biscuiti-populari-900g-13808,Vel Pitar Biscuiti Populari 900g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-13808,900.0179806,shopify,10,deny,manual,3.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
turbo-guma-box-12409,Turbo Guma Box,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12409,0,shopify,1,deny,manual,4.7,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
toy-joy-3d-jelly-eyes-sbox-60pcs-18184,Toy Joy 3D Jelly Eyes Sbox(60Pcs),,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18184,0,shopify,1,deny,manual,28.5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
tadu-fursecuri-asortate-450g-11877,Tadu Fursecuri Asortate 450g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11877,450.0089903,shopify,4,deny,manual,3.2,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
tadu-cornulete-de-casa-cu-rahat-450g-11873,Tadu Cornulete De Casa Cu Rahat 450g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11873,450.0089903,shopify,4,deny,manual,3.1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
tadu-cornulete-de-casa-cu-gem-de-fructe-450g-12845,Tadu Cornulete De Casa Cu Gem De Fructe 450g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12845,450.0089903,shopify,4,deny,manual,3.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
sanziene-cornulete-gem-prune-280g-17932,Sanziene Cornulete Gem Prune 280g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17932,280.00257,shopify,16,deny,manual,2.5,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
sanziene-cornulete-gem-280g-12228,Sanziene Cornulete Gem 280g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12228,280.00257,shopify,16,deny,manual,2.6,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
roshen-praline-cherry-queen-122g-15306,Roshen Praline Cherry Queen 122g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15306,122.0163475,shopify,8,deny,manual,4.1,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
rollo-cereale-glazura-cacao-100g-14822,Rollo Cereale Glazura Cacao 100g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14822,100.0171176,shopify,33,deny,manual,1.1,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
roks-acadele-pepene-verde-70g-10687,Roks Acadele Pepene Verde 70g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-10687,69.98930269,shopify,27,deny,manual,1.7,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
rock-pastile-aprins-focul-48-buc-15525,Rock Pastile Aprins Focul 48 Buc,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15525,0,shopify,28,deny,manual,1.2,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
raffaello-150g-18006,Raffaello 150g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18006,150.0029968,shopify,6,deny,manual,5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
orbit-winterfrost-14g-10658,Orbit Winterfrost 14g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-10658,14.01600423,shopify,30,deny,manual,0.9,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
orbit-refreshers-tropical-17-9g-17507,Orbit Refreshers Tropical 17.9g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17507,8.981128926,shopify,12,deny,manual,1.2,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
orbit-refreshers-strawberry-lemon-17-9g-17505,Orbit Refreshers Strawberry Lemon 17.9g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17505,8.981128926,shopify,12,deny,manual,1.2,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
orbit-refreshers-spearmint-17-9g-17506,Orbit Refreshers Spearmint 17.9g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17506,8.981128926,shopify,12,deny,manual,1.2,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
orbit-peppermint-14g-10655,Orbit Peppermint 14g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-10655,14.01600423,shopify,30,deny,manual,0.9,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
naty-napolitane-cu-crema-si-glazura-de-cocos-140g-18860,Naty Napolitane Cu Crema Si Glazura De Cocos 140g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18860,139.9786054,shopify,9,deny,manual,1.4,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
naty-napolitane-cu-crema-si-glazura-de-cappuccino-18859,Naty Napolitane Cu Crema Si Glazura De Cappuccino,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18859,0,shopify,9,deny,manual,1.4,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
naty-napolitane-cu-crema-de-cacao-si-glazura-de-cacao-18861,Naty Napolitane Cu Crema De Cacao Si Glazura De Cacao,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18861,0,shopify,9,deny,manual,1.4,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
morello-foi-mari-napolitane-180g-17196,Morello Foi Mari Napolitane 180g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17196,179.9854524,shopify,16,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
monte-banato-galuste-pufoase-85g-18570,Monte Banato Galuste Pufoase 85g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18570,85.00321014,shopify,10,deny,manual,1.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
magura-prajitura-macaron-cappuccino-35g-18897,Magura Prajitura Macaron Cappuccino 35g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18897,35.01733096,shopify,24,deny,manual,0.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
magura-prajitura-macaron-banofee-35g-18896,Magura Prajitura Macaron Banofee 35g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18896,35.01733096,shopify,24,deny,manual,0.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
lucky-girl-ou-cu-surprize-30g-15641,Lucky Girl Ou Cu Surprize 30g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15641,29.98245566,shopify,8,deny,manual,2.6,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
lucky-boy-ou-cu-surprize-30g-15640,Lucky Boy Ou Cu Surprize 30g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15640,29.98245566,shopify,8,deny,manual,2.6,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
lolly-popsy-acadele-melc-30g-13223,Lolly Popsy Acadele Melc 30g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-13223,29.98245566,shopify,32,deny,manual,1.4,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
laleli-vata-de-zahar-15g-12865,Laleli Vata De Zahar 15g,,Basarabia,,Sweets & Snacks,"price-match, Sweets & Snacks",TRUE,Title,Default Title,,,,,,,,MAR-12865,15.01390745,shopify,12,deny,manual,0.7,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-griliaj-350g-16722,La Neamu Griliaj 350g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-16722,349.9918727,shopify,6,deny,manual,3.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-cornulete-gem-visine-350g-17194,La Neamu Cornulete Gem Visine 350g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17194,349.9918727,shopify,6,deny,manual,3.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-cornulete-gem-prune-350g-16719,La Neamu Cornulete Gem Prune 350g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-16719,349.9918727,shopify,6,deny,manual,3.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-cornulete-gem-capsuni-350g-16720,La Neamu Cornulete Gem Capsuni 350g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-16720,349.9918727,shopify,6,deny,manual,3.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-cornulete-gem-caise-350g-16721,La Neamu Cornulete Gem Caise 350g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-16721,349.9918727,shopify,6,deny,manual,3.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
la-neamu-biscuiti-nuca-300g-17195,La Neamu Biscuiti Nuca 300g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17195,300.0059935,shopify,6,deny,manual,3.8,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
klassic-candy-floss-sweet-and-sour-50g-18106,Klassic Candy Floss Sweet And Sour 50g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18106,49.98587917,shopify,18,deny,manual,1.5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
klassic-candy-floss-sweet-50g-18105,Klassic Candy Floss Sweet 50g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18105,49.98587917,shopify,18,deny,manual,1.5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
kinder-paradiso-29g-17810,Kinder Paradiso 29g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17810,28.98455244,shopify,28,deny,manual,1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
irina-foi-cu-miere-pentru-prajituri-sau-torturi-16886,Irina Foi Cu Miere Pentru Prajituri Sau Torturi,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-16886,0,shopify,8,deny,manual,3.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
hubba-bubba-capsuni-35g-17033,Hubba Bubba Capsuni 35g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17033,35.01733096,shopify,20,deny,manual,0.7,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
haribo-peaches-100g-17850,Haribo Peaches 100g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17850,100.0171176,shopify,24,deny,manual,1.5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
haribo-happy-cherries-100g-17849,Haribo Happy Cherries 100g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17849,100.0171176,shopify,30,deny,manual,1.5,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
haribo-chamallows-pink-white-70g-17857,Haribo Chamallows Pink White 70g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17857,69.98930269,shopify,24,deny,manual,1.2,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
gummy-mini-burgers-asorted-sbox-24pcs-17366,Gummy Mini Burgers Asorted Sbox (24Pcs),,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17366,0,shopify,1,deny,manual,9.6,,TRUE,TRUE,,,,,,,,,FALSE,,,,lb,,,active
grania-faina-cozonac-1kg-11042,Grania Faina Cozonac 1kg,,Basarabia,,Sweets & Snacks,"price-match, Sweets & Snacks",TRUE,Title,Default Title,,,,,,,,MAR-11042,999.9897389,shopify,10,deny,manual,1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
eti-puf-colorate-18g-12419,Eti Puf Colorate 18g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12419,18.00761709,shopify,48,deny,manual,0.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
eti-puf-cocos-16g-12416,Eti Puf Cocos 16g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12416,16.01181066,shopify,48,deny,manual,0.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
eti-puf-cacao-18g-12417,Eti Puf Cacao 18g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-12417,18.00761709,shopify,48,deny,manual,0.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-faina-000-cozonac-1kg-13861,Dobrogea Faina 000 Cozonac 1kg,,Basarabia,,Sweets & Snacks,"price-match, Sweets & Snacks",TRUE,Title,Default Title,,,,,,,,MAR-13861,999.9897389,shopify,10,deny,manual,0.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-eugenia-zurli-cr-lapte-cacao-pach-family-14584,Dobrogea Eugenia Zurli Cr. Lapte Cacao Pach Family,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14584,0,shopify,11,deny,manual,3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-eugenia-zurli-cr-lapte-cacao-display-14581,Dobrogea Eugenia Zurli Cr. Lapte Cacao Display,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14581,0,shopify,24,deny,manual,0.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-eugenia-family-original-10x36g-10847,Dobrogea Eugenia Family Original 10X36g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-10847,36.01523418,shopify,11,deny,manual,2.8,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-eugenia-family-cacao-cocos-10x36g-18913,Dobrogea Eugenia Family Cacao Cocos 10X36g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18913,36.01523418,shopify,11,deny,manual,3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
dobrogea-eugenia-family-bubble-gum-roz-10x36g-18914,Dobrogea Eugenia Family Bubble Gum Roz 10X36g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18914,36.01523418,shopify,11,deny,manual,3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-tortulet-de-biscuiti-cu-stafide-50g-15885,Boromir Tortulet De Biscuiti Cu Stafide 50g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15885,49.98587917,shopify,44,deny,manual,0.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-tortulet-de-biscuiti-cu-cirese-confiate-15884,Boromir Tortulet De Biscuiti Cu Cirese Confiate,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-15884,0,shopify,44,deny,manual,0.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-strudeline-cu-gem-de-visine-230g-17569,Boromir Strudeline Cu Gem De Visine 230g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17569,230.0166908,shopify,10,deny,manual,2.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-strudeline-cu-gem-de-caise-230g-17568,Boromir Strudeline Cu Gem De Caise 230g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-17568,230.0166908,shopify,10,deny,manual,2.2,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-prajitura-tort-nuci-250g-13894,Boromir Prajitura Tort Nuci 250g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-13894,250.0201143,shopify,8,deny,manual,2.5,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-prajitura-tort-mokacino-250g-11346,Boromir Prajitura Tort Mokacino 250g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11346,250.0201143,shopify,8,deny,manual,2.6,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-faina-cozonac-1kg-11327,Boromir Faina Cozonac 1kg,,Basarabia,,Sweets & Snacks,"price-match, Sweets & Snacks",TRUE,Title,Default Title,,,,,,,,MAR-11327,999.9897389,shopify,10,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-blat-tort-simplu-400g-11326,Boromir Blat Tort Simplu 400g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11326,399.9777519,shopify,6,deny,manual,2.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
boromir-blat-tort-cacao-400g-11328,Boromir Blat Tort Cacao 400g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11328,399.9777519,shopify,6,deny,manual,2.9,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
biskrem-zmeura-160g-13289,Biskrem Zmeura 160g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-13289,159.9820289,shopify,12,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
biskrem-visine-160g-18130,Biskrem Visine 160g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18130,159.9820289,shopify,12,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
biskrem-cacao-160g-11722,Biskrem Cacao 160g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-11722,159.9820289,shopify,12,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
biskrem-biscuiti-turta-dulce-160g-18637,Biskrem Biscuiti Turta Dulce 160g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-18637,159.9820289,shopify,12,deny,manual,1.3,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
accasa-saleuri-cu-susan-220g-14804,Accasa Saleuri Cu Susan 220g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14804,219.9922995,shopify,8,deny,manual,2.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
accasa-saleuri-cu-cascaval-220g-14803,Accasa Saleuri Cu Cascaval 220g,,Basarabia,,Sweets & Snacks,Sweets & Snacks,TRUE,Title,Default Title,,,,,,,,MAR-14803,219.9922995,shopify,8,deny,manual,2.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
